team,matches,wins,draws,losses,gf,ga,points,gd
Liverpool FC,38,25,9,4,86,41,84,45
Arsenal FC,38,20,14,4,69,34,74,35
Manchester City,38,21,8,9,72,44,71,28
Chelsea FC,38,20,9,9,64,43,69,21
Newcastle United,38,20,6,12,68,47,66,21
Aston Villa,38,19,9,10,58,51,66,7
Nottingham Forest,38,19,8,11,58,46,65,12
Brighton & Hove Albion,38,16,13,9,66,59,61,7
AFC Bournemouth,38,15,11,12,58,46,56,12
Brentford FC,38,16,8,14,66,57,56,9
Fulham FC,38,15,9,14,54,54,54,0
Crystal Palace,38,13,14,11,51,51,53,0
Everton FC,38,11,15,12,42,44,48,-2
West Ham United,38,11,10,17,46,62,43,-16
Manchester United,38,11,9,18,44,54,42,-10
Wolverhampton Wanderers,38,12,6,20,54,69,42,-15
Tottenham Hotspur,38,11,5,22,64,65,38,-1
Leicester City,38,6,7,25,33,80,25,-47
Ipswich Town,38,4,10,24,36,82,22,-46
Southampton FC,38,2,6,30,26,86,12,-60
